card_id,playerClass,type,name,set,text,cost,attack,health,rarity,collectible,flavor,race,how_to_earn,how_to_earn_golden,targeting_arrow_text,faction,durability
CORE_EX1_581,ROGUE,SPELL,Sap,PLACEHOLDER_202204,Return an enemy minion to your opponent's hand.,2,,,RARE,true,Rogues love sappy movies.,,Unlocked with Rogue class.,Unlocked after winning 100 games as Rogue.,,,
CORE_EX1_586,NEUTRAL,MINION,Sea Giant,PLACEHOLDER_202204,Costs (1) less for each other minion on the battlefield.,10,8,8,EPIC,true,See?  Giant.,,Unlocked by completing the Tutorial.,Unlocked after 2500 total wins.,,,
CORE_EX1_603,WARRIOR,MINION,Cruel Taskmaster,PLACEHOLDER_202204,<b>Battlecry:</b> Deal 1 damage to a minion and give it +2 Attack.,2,2,3,COMMON,true,"""I'm going to need you to come in on Sunday."" - Cruel Taskmaster",,Unlocked with Warrior class.,Unlocked after winning 50 games as Warrior.,Deal 1 damage and grant +2 Attack.,,
CORE_EX1_604,WARRIOR,MINION,Frothing Berserker,CORE,"Whenever a minion takes damage, gain +1 Attack.",3,2,4,RARE,true,He used to work as an accountant before he tried his hand at Berserkering.,,Unlocked with Warrior class.,Unlocked after winning 100 games as Warrior.,,,
CORE_EX1_606,WARRIOR,SPELL,Shield Block,CORE,"Gain 5 Armor.
Draw a card.",2,,,COMMON,true,Shields were invented because Face Block is USELESS.,,Unlocked with Warrior class.,Unlocked after winning 50 games as Warrior.,,,
CORE_EX1_610,HUNTER,SPELL,Explosive Trap,CORE,"<b>Secret:</b> When your hero is attacked, deal $2 damage to all enemies.",2,,,COMMON,true,It traps your food AND cooks it for you!,,Unlocked with Hunter class.,Unlocked after winning 50 games as Hunter.,,,
CORE_EX1_611,HUNTER,SPELL,Freezing Trap,CORE,"<b>Secret:</b> When an enemy minion attacks, return it to its owner's hand. It costs (2) more.",2,,,COMMON,true,"""Dang, that's cold."" - appropriate response to Freezing Trap, or a mean joke.",,Unlocked with Hunter class.,Unlocked after winning 50 games as Hunter.,,,
CORE_EX1_617,HUNTER,SPELL,Deadly Shot,CORE,Destroy a random enemy minion.,3,,,COMMON,true,"Our ballista operator is effective, but not picky.",,Unlocked with Hunter class.,Unlocked after winning 50 games as Hunter.,,,
CORE_EX1_619,PALADIN,SPELL,Equality,CORE,Change the Health of ALL minions to 1.,2,,,RARE,true,We are all special unique snowflakes... with 1 Health.,,Unlocked with Paladin class.,Unlocked after winning 100 games as Paladin.,,,
CORE_EX1_620,NEUTRAL,MINION,Molten Giant,PLACEHOLDER_202204,"Costs (1) less for
each Health your hero
is missing.",20,8,8,EPIC,true,He gets terrible heartburn.  BECAUSE HE IS FULL OF LAVA.,ELEMENTAL,Unlocked by completing the Tutorial.,Unlocked after 2500 total wins.,,,
CORE_EX1_622,PRIEST,SPELL,Shadow Word: Death,PLACEHOLDER_202204,Destroy a minion with 5 or more Attack.,2,,,COMMON,true,"If you miss, it leaves a lightning-bolt-shaped scar on your target.",,Unlocked with Priest class.,Unlocked after winning 50 games as Priest.,,,
CORE_EX1_623,PRIEST,MINION,Temple Enforcer,PLACEHOLDER_202204,<b>Battlecry:</b> Give a friendly minion +3 Health.,5,5,6,COMMON,true,He also moonlights Thursday nights as a bouncer at the Pig and Whistle Tavern.,,Unlocked with Priest class.,Unlocked after winning 50 games as Priest.,Give +3 Health.,,
CORE_EX1_625,PRIEST,SPELL,Shadowform,PLACEHOLDER_202204,Your Hero Power becomes 'Deal 2 damage.',2,,,EPIC,true,If a bright light shines on a priest in Shadowform… do they cast a shadow?,,Unlocked with Priest class.,Unlocked after winning 250 games as Priest.,,,
CORE_FB_Champs_LOOT_080,HUNTER,SPELL,Lesser Emerald Spellstone,PLACEHOLDER_202204,Summon two 3/3 Wolves. <i>(Play a <b>Secret</b> to upgrade.)</i>,5,,,RARE,true,"An emerald stone for Tauren hands
Who sought its strength to save their lands
Their tribes now lost, their rage released
Who’s hunting now? And who’s the beast?",,Unlocked with Hunter class.,Unlocked after winning 100 games as Hunter.,,,
CORE_FIX_SW_084,WARLOCK,MINION,Bloodbound Imp,PLACEHOLDER_202204,"Whenever this attacks, deal 2 damage to your hero.",2,2,5,COMMON,true,ALWAYS read the terms and conditions.,DEMON,Unlocked with the Warlock class.,Unlocked after winning 50 games as Warlock.,,,
CORE_FP1_007,NEUTRAL,MINION,Nerubian Egg,CORE,<b>Deathrattle:</b> Summon a 4/4 Nerubian.,2,0,2,RARE,true,Eggs are a good source of protein and Nerubians.,,Unlocked by completing the Tutorial.,Unlocked after 1000 total wins.,,,
CORE_FP1_011,HUNTER,MINION,Webspinner,PLACEHOLDER_202204,"<b>Deathrattle:</b> Get a
random Beast.",1,1,1,COMMON,true,Spider cocoons are like little piñatas!,BEAST,Unlocked with Hunter class.,Unlocked after winning 50 games as Hunter.,,,
CORE_FP1_020,PALADIN,SPELL,Avenge,PLACEHOLDER_202204,"<b>Secret:</b> When one of your minions dies, give a random friendly minion +3/+2.",1,,,COMMON,true,"Several paladins have joined together to deliver justice under the name ""Justice Force"".  Their lawyer talked them out of calling themselves the Justice League.",,Unlocked with Paladin class.,Unlocked after winning 50 games as Paladin.,,,
CORE_FP1_022,WARLOCK,MINION,Voidcaller,PLACEHOLDER_202204,<b>Deathrattle:</b> Put a random Demon from your hand into the battlefield.,4,3,4,COMMON,true,"""Void!  Here, void!  Here, buddy!""",DEMON,Unlocked with Warlock class.,Unlocked after winning 50 games as Warlock.,,,
CORE_FP1_030,NEUTRAL,MINION,Loatheb,PLACEHOLDER_202204,<b>Battlecry:</b> Enemy spells cost (5) more next turn.,5,5,5,LEGENDARY,true,Loatheb used to be a simple Bog Beast.  This is why we need stricter regulations on mining and agriculture.,UNDEAD,,,,,
CORE_FP1_031,NEUTRAL,MINION,Baron Rivendare,PLACEHOLDER_202204,Your minions trigger their <b>Deathrattles</b> twice.,4,1,7,LEGENDARY,true,There used to be five Horsemen but one of them left because a job opened up in the deadmines and the benefits were better.,UNDEAD,Unlocked by completing the Tutorial.,Unlocked after 5000 total wins.,,,
CORE_GIFT_01,NEUTRAL,MINION,Harth Stonebrew,PLACEHOLDER_202204,"[x]<b>Battlecry:</b> Replace your
hand with an iconic one
from Hearthstone's past.
<i>(Once per game)</i>",6,5,5,LEGENDARY,true,"""Grab a slice by the hearth and enjoy the festivities. This celebration is for all of us!""
-Harth",,Unlocked by completing the Tutorial.,Obtainable by participating in a special event.,,,
CORE_GIFT_02,MAGE,SPELL,Jaina's Gift,PLACEHOLDER_202204,"<b>Discover</b> a <b>Temporary</b> Frostbolt, Arcane Intellect, or Fireball.",1,,,RARE,true,"""On this day, my magic will bring us together.""
-Jaina",,Unlocked with Mage class.,Obtainable by participating in a special event.,,,
CORE_GIFT_03,HUNTER,SPELL,Rexxar's Gift,PLACEHOLDER_202204,"[x]<b>Discover</b> a <b>Temporary</b>
Quick Shot, Deadly Shot,
or Explosive Shot.",1,,,RARE,true,"""I shop alone.""
-Rexxar",,Unlocked with Hunter class.,Obtainable by participating in a special event.,,,
CORE_GIFT_04,DEATHKNIGHT,SPELL,Arthas's Gift,PLACEHOLDER_202204,"[x]<b>Discover</b> a <b>Temporary</b>
Dark Transformation,
Howling Blast, or
Death Strike.",1,,,RARE,true,"""Now try it on.""
-Arthas",,Unlocked with Death Knight class.,Obtainable by participating in a special event.,,,
CORE_GIFT_05,PALADIN,SPELL,Uther's Gift,PLACEHOLDER_202204,"<b>Discover</b> a <b>Temporary</b> Equality, Consecration, or Blessing of Kings.",1,,,RARE,true,"""I hope you enjoy light reading!""
-Uther",,Unlocked with Paladin class.,Obtainable by participating in a special event.,,,
CORE_GIFT_06,SHAMAN,SPELL,Thrall's Gift,PLACEHOLDER_202204,"<b>Discover</b> a <b>Temporary</b> Lightning Storm, Hex,
or Bloodlust.",1,,,RARE,true,"""I wrapped it myself!""
-Thrall",,Unlocked with Shaman class.,Obtainable by participating in a special event.,,,
CORE_GIFT_07,WARRIOR,SPELL,Garrosh's Gift,PLACEHOLDER_202204,"<b>Discover</b> a <b>Temporary</b> Execute, Shield Block, or Brawl.",1,,,RARE,true,"""FROM THE HORDE! AND ESPECIALLY ME!""
-Garrosh",,Unlocked with Warrior class.,Obtainable by participating in a special event.,,,
CORE_GIFT_08,DEMONHUNTER,SPELL,Illidan's Gift,PLACEHOLDER_202204,"<b>Discover</b> a <b>Temporary</b> Fel Barrage, Chaos Strike, or Chaos Nova.",1,,,RARE,true,"""This gift's burden will always be yours to bear... I lost the receipt.""
-Illidan",,Unlocked with the Demon Hunter class.,Obtainable by participating in a special event.,,,
CORE_GIFT_09,ROGUE,SPELL,Valeera's Gift,PLACEHOLDER_202204,"[x]<b>Discover</b> a <b>Temporary</b>
Backstab, Deadly Poison,
or Fan of Knives.",1,,,RARE,true,"""Here. You. Go.""
-Valeera",,Unlocked with Rogue class.,Obtainable by participating in a special event.,,,
CORE_GIFT_10,DRUID,SPELL,Malfurion's Gift,PLACEHOLDER_202204,"<b>Discover</b> a <b>Temporary</b>
Feral Rage, Wild Growth,
or Swipe.",1,,,RARE,true,"""May this imbue you with the life of the party!""
-Malfurion",,Unlocked with Druid class.,Obtainable by participating in a special event.,,,
CORE_GIFT_11,WARLOCK,SPELL,Gul'dan's Gift,PLACEHOLDER_202204,"[x]<b>Discover</b> a <b>Temporary</b>
Mortal Coil, Siphon Soul,
or Twisting Nether.",1,,,RARE,true,"""This won't be like last time...""
-Gul'dan",,Unlocked with Warlock class.,Obtainable by participating in a special event.,,,
CORE_GIFT_12,PRIEST,SPELL,Anduin's Gift,PLACEHOLDER_202204,"[x]<b>Discover</b> a <b>Temporary</b>
Power Word: Shield,
Shadow Word: Pain,
or Mind Control.",1,,,RARE,true,"""My council assures me this is the perfect gift! Not that they needed to tell me. I know what's in there.""
-Anduin",,Unlocked with Priest class.,Obtainable by participating in a special event.,,,
CORE_GIL_124,NEUTRAL,MINION,Mossy Horror,PLACEHOLDER_202204,<b>Battlecry:</b> Destroy all other minions with 2 or less Attack.,6,2,7,EPIC,true,"The hills have eyes. And teeth. Pretty bad breath, too.",,Unlocked by completing the Tutorial.,Unlocked after 2500 total wins.,,,
CORE_GIL_191,WARLOCK,SPELL,Fiendish Circle,PLACEHOLDER_202204,[x]Summon four 1/1 Imps.,3,,,COMMON,true,"Like a knitting circle, but less evil.",,Unlocked with Warlock class.,Unlocked after winning 50 games as Warlock.,,,
CORE_GIL_534,NEUTRAL,MINION,Hench-Clan Thug,CORE,"After your hero attacks, give this minion +1/+1.",3,3,3,COMMON,true,Hard time making ends meet? Hate the League of Explorers? Get a job henching!,QUILBOAR,Unlocked by completing the Tutorial.,Unlocked after 500 total wins.,,,
CORE_GIL_547,WARRIOR,MINION,Darius Crowley,PLACEHOLDER_202204,"[x]<b>Rush</b>
After this attacks and kills
a minion, gain +2/+2.",5,4,5,LEGENDARY,true,"You either die a villain, or live long enough to see yourself become the hero.",,Unlocked with Warrior class.,Unlocked after winning 500 games as Warrior.,,,
CORE_GIL_577,HUNTER,SPELL,Rat Trap,CORE,"[x]<b>Secret:</b> After your
opponent plays three
cards in a turn, summon
a 6/6 Rat.",2,,,EPIC,true,MISSING: One giant rat. Please return to King Togwaggle.,,Unlocked with Hunter class.,Unlocked after winning 250 games as Hunter.,,,
CORE_GIL_580,WARRIOR,MINION,Town Crier,PLACEHOLDER_202204,<b>Battlecry:</b> Draw a <b>Rush</b> minion from your deck.,1,1,2,EPIC,true,"When he was younger, he was the town crybaby.",,Unlocked with Warrior class.,Unlocked after winning 250 games as Warrior.,,,
CORE_GIL_598,ROGUE,MINION,Tess Greymane,CORE,"[x]<b>Battlecry:</b> Replay every card
from another class you've
played this game <i>(targets
chosen randomly)</i>.",7,6,6,LEGENDARY,true,Those who cannot remember their card history are doomed to repeat it.,,Unlocked with Rogue class.,Unlocked after winning 500 games as Rogue.,,,
CORE_GIL_600,SHAMAN,SPELL,Zap!,PLACEHOLDER_202204,Deal $2 damage to a minion. <b>Overload:</b> (1),0,,,COMMON,true,The material components for this spell are wool socks and a rug.,,Unlocked with Shaman class.,Unlocked after winning 50 games as Shaman.,,,
CORE_GIL_622,NEUTRAL,MINION,Lifedrinker,CORE,"[x]<b>Battlecry:</b> Deal 3 damage to
the enemy hero. Restore
#3 Health to your hero.",4,3,3,RARE,true,"In a pinch, he'll also settle for Holy Water: Zero.",BEAST,Unlocked by completing the Tutorial.,Unlocked after 1000 total wins.,,,
CORE_GIL_650,HUNTER,MINION,Houndmaster Shaw,PLACEHOLDER_202204,"Your other minions have
<b>Rush</b>.",4,3,6,LEGENDARY,true,"They’re good dogs, Tess.",,Unlocked with Hunter class.,Unlocked after winning 500 games as Hunter.,,,
CORE_GIL_653,WARRIOR,WEAPON,Woodcutter's Axe,PLACEHOLDER_202204,<b>Deathrattle:</b> Give +2/+1 to a random friendly minion.,2,2,2,COMMON,true,It's a lumberjack's axe and that's ok.,,Unlocked with Warrior class.,Unlocked after winning 50 games as Warrior.,,,0
CORE_GIL_663,DRUID,SPELL,Witchwood Apple,CORE,Add two 2/2 Treants to your hand.,1,,,COMMON,true,An apple a day keeps the worgen at bay.,,Unlocked with Druid class.,Unlocked after winning 50 games as Druid.,,,
CORE_GIL_667,NEUTRAL,MINION,Rotten Applebaum,PLACEHOLDER_202204,"<b>Taunt</b>
<b>Deathrattle:</b> Restore #6 Health to your hero.",5,4,6,COMMON,true,Key ingredient in Gilnean applesauce.,UNDEAD,Unlocked by completing the Tutorial.,Unlocked after 500 total wins.,,,
CORE_GIL_672,ROGUE,WEAPON,Spectral Cutlass,PLACEHOLDER_202204,"[x]<b>Lifesteal</b>
Whenever you play a card
from another class,
gain +1 Durability.",4,2,2,EPIC,true,So sharp it can cut through a spectral tomato!,,Unlocked with Rogue class.,Unlocked after winning 250 games as Rogue.,,,0
CORE_GIL_692,NEUTRAL,MINION,Genn Greymane,PLACEHOLDER_202204,"[x]<b>Start of Game:</b>
If your deck has only even-
Cost cards, your starting
Hero Power costs (1).",6,6,5,LEGENDARY,true,"Ever since Sylvanas killed his son, he's dreamed of getting… even.",,,Unlocked after 5000 total wins.,,,
CORE_GIL_801,MAGE,SPELL,Snap Freeze,PLACEHOLDER_202204,"<b>Freeze</b> a minion.
If it's already <b>Frozen</b>, destroy it.",1,,,COMMON,true,Lick the ice block. I triple-double-dog-dare-you.,,Unlocked with Mage class.,Unlocked after winning 50 games as Mage.,,,
CORE_GIL_826,NEUTRAL,MINION,Baku the Mooneater,PLACEHOLDER_202204,"[x]<b>Start of Game:</b>
If your deck has only odd-
Cost cards, upgrade
your Hero Power.",9,7,8,LEGENDARY,true,"In her defense, it did look like a cookie.",BEAST,,Unlocked after 5000 total wins.,,,
CORE_GIL_828,HUNTER,SPELL,Dire Frenzy,PLACEHOLDER_202204,Give a Beast +3/+3. Shuffle 3 copies into your deck with +3/+3.,4,,,COMMON,true,It's always Huffer. And Huffer. And Huffer. And Huffer.,,Unlocked with Hunter class.,Unlocked after winning 50 games as Hunter.,,,
CORE_GIL_836,SHAMAN,SPELL,Blazing Invocation,CORE,"[x]<b>Discover</b> a <b>Battlecry</b>
minion. It costs (1) less.",1,,,RARE,true,A lot of shaman have started vaping their invocations.,,Unlocked with Shaman class.,Unlocked after winning 100 games as Shaman.,,,
CORE_GVG_008,PRIEST,SPELL,Lightbomb,CORE,Deal damage to each minion equal to its Attack.,6,,,EPIC,true,This is what happens when you allow goblins to be priests.,,Unlocked with Priest class.,Unlocked after winning 250 games as Priest.,,,
CORE_GVG_013,NEUTRAL,MINION,Cogmaster,PLACEHOLDER_202204,Has +2 Attack while you have a Mech.,1,1,2,COMMON,true,"After a while, you don't see the cogs and sprockets. All you see is a robot, a spider tank, a deathray...",,Unlocked by completing the Tutorial.,Unlocked after 500 total wins.,,,
CORE_GVG_021,WARLOCK,MINION,Mal'Ganis,PLACEHOLDER_202204,"Your hero is <b>Immune</b>.
Your other Demons
have +2/+2.",9,9,7,LEGENDARY,true,"Mal'Ganis doesn't like being betrayed, so if you discard him, watch out.",DEMON,Unlocked with Warlock class.,Unlocked after winning 500 games as Warlock.,,,
CORE_GVG_044,NEUTRAL,MINION,Spider Tank,PLACEHOLDER_202204,,3,3,4,COMMON,true,"""What if we put guns on it?"" -Fizzblitz, staring at the spider-transportation-machine",MECHANICAL,Unlocked by completing the Tutorial.,Unlocked after 500 total wins.,,,
CORE_GVG_053,WARRIOR,MINION,Shieldmaiden,PLACEHOLDER_202204,<b>Battlecry:</b> Gain 5 Armor.,5,5,5,RARE,true,She has three shieldbearers in her party to supply her with back ups when she gets low on durability.,,Unlocked with Warrior class.,Unlocked after winning 100 games as Warrior.,,,
CORE_GVG_061,PALADIN,SPELL,Muster for Battle,CORE,Summon three 1/1 Silver Hand Recruits. Equip a 1/4 Weapon.,3,,,RARE,true,"""I'm bringing the guacamole!"" – One of the most successful (yet rare) Silver Hand rallying cries",,Unlocked with Paladin class.,Unlocked after winning 100 games as Paladin.,,,
CORE_GVG_076,NEUTRAL,MINION,Explosive Sheep,PLACEHOLDER_202204,<b>Deathrattle:</b> Deal 2 damage to all minions.,2,1,1,COMMON,true,"How is this supposed to work?  Your enemies think, ""<i>Hey!</i> Cute sheep!"" and run over to cuddle it?",MECHANICAL,Unlocked by completing the Tutorial.,Unlocked after 500 total wins.,,,
CORE_GVG_085,NEUTRAL,MINION,Annoy-o-Tron,CORE,"<b>Taunt</b>
<b>Divine Shield</b>",2,1,2,COMMON,true,"The inventor of the Annoy-o-Tron was immediately expelled from Tinkerschool, Tinkertown, and was eventually exiled from the Eastern Kingdoms altogether.",MECHANICAL,Unlocked by completing the Tutorial.,Unlocked after 500 total wins.,,,
CORE_GVG_109,NEUTRAL,MINION,Mini-Mage,PLACEHOLDER_202204,"<b>Stealth</b>
<b>Spell Damage +1</b>",3,3,1,EPIC,true,He is sometimes found hiding in the treasure chest in the Gurubashi Arena.,,Unlocked by completing the Tutorial.,Unlocked after 2500 total wins.,,,
CORE_GVG_110,NEUTRAL,MINION,Dr. Boom,PLACEHOLDER_202204,<b>Battlecry:</b> Summon two 1/1 Boom Bots. <i>WARNING: Bots may explode.</i>,7,7,7,LEGENDARY,true,MARVEL AT HIS MIGHT!,,Unlocked by completing the Tutorial.,Unlocked after 5000 total wins.,,,
CORE_GVG_114,NEUTRAL,MINION,Sneed's Old Shredder,CORE,<b>Deathrattle:</b> Summon a random <b>Legendary</b> minion.,7,5,7,LEGENDARY,true,"When Sneed was defeated in the Deadmines, his shredder was sold at auction to an anonymous buyer. (Probably Hogger.)",MECHANICAL,Unlocked by completing the Tutorial.,Unlocked after 5000 total wins.,,,
CORE_GVG_121,NEUTRAL,MINION,Clockwork Giant,PLACEHOLDER_202204,Costs (1) less for each card in your opponent's hand.,12,8,8,EPIC,true,He and Mountain Giant don't get along.,MECHANICAL,Unlocked by completing the Tutorial.,Unlocked after 2500 total wins.,,,
CORE_ICC_018,NEUTRAL,MINION,Phantom Freebooter,PLACEHOLDER_202204,<b>Battlecry:</b> Gain stats equal to your weapon's.,4,3,3,RARE,true,There's no such thing as a free boot.,PIRATE,,,,,
CORE_ICC_019,NEUTRAL,MINION,Skelemancer,PLACEHOLDER_202204,"<b>Deathrattle:</b> If it's your opponent's turn, summon an 8/8 Skeleton.",5,2,2,COMMON,true,"What do you mean there's no such thing as ""Skelemancy?"" But ""Dinomancy"" is ok?",UNDEAD,,,,,
CORE_ICC_021,HUNTER,MINION,Exploding Bloatbat,PLACEHOLDER_202204,"<b>Deathrattle:</b>
Deal 2 damage to all enemy minions.",4,2,1,RARE,true,We've all been there after a night of one-too-many funnel cakes.,BEAST,,,,,
CORE_ICC_023,NEUTRAL,MINION,Snowflipper Penguin,PLACEHOLDER_202204,,0,1,1,COMMON,true,"On land, a group of penguins is called a ""waddle.""",BEAST,Unlocked by completing the Tutorial.,Unlocked after 500 total wins.,,,
CORE_ICC_025,NEUTRAL,MINION,Rattling Rascal,PLACEHOLDER_202204,"[x]<b>Battlecry:</b> Summon a
5/5 Skeleton.
<b>Deathrattle:</b> Summon one
for your opponent.",4,2,2,EPIC,true,"Don't give up, skeleton!",UNDEAD,,,,,
CORE_ICC_026,NEUTRAL,MINION,Grim Necromancer,PLACEHOLDER_202204,<b>Battlecry:</b> Summon two 1/1 Skeletons.,4,2,4,COMMON,true,WARNING: Skeletons will NOT explode.,UNDEAD,Unlocked by completing the Tutorial.,Unlocked after 500 total wins.,,,
CORE_ICC_027,NEUTRAL,MINION,Bone Drake,PLACEHOLDER_202204,<b>Deathrattle:</b> Add a random Dragon to your hand.,6,6,5,RARE,true,"The bone drake brings all the dragons to the yard. He would teach you, but you have no cards.",DRAGON,,,,,
CORE_ICC_028,NEUTRAL,MINION,Sunborne Val'kyr,PLACEHOLDER_202204,<b>Battlecry:</b> Give adjacent minions +2 Health.,5,5,4,COMMON,true,"Bring valor to Odyn's halls, Champion!",UNDEAD,,,,,
CORE_ICC_029,NEUTRAL,MINION,Cobalt Scalebane,PLACEHOLDER_202204,"At the end of your turn, give another random friendly minion +3 Attack.",5,5,5,COMMON,true,You get a sword! And you get a sword! Everybody gets a sword!,DRAGON,Unlocked by completing the Tutorial.,Unlocked after 500 total wins.,,,
CORE_ICC_031,NEUTRAL,MINION,Night Howler,PLACEHOLDER_202204,"Whenever this minion takes
damage, gain +2 Attack.",4,3,4,COMMON,true,"Honestly, he howls during the day, too.",,,,,,
CORE_ICC_032,NEUTRAL,MINION,Venomancer,PLACEHOLDER_202204,<b>Poisonous</b>,5,2,5,COMMON,true,Eight times the death of regular-mancers.,UNDEAD,,,,,
CORE_ICC_034,PALADIN,MINION,Arrogant Crusader,PLACEHOLDER_202204,"<b>Deathrattle:</b> If it's your opponent's turn, summon a 2/2 Ghoul.",4,5,2,RARE,true,"To be honest, he was kind of a jerk even BEFORE he was bitten by that ghoul.",UNDEAD,,,,,
CORE_ICC_038,PALADIN,MINION,Righteous Protector,CORE,"<b>Taunt</b>
<b>Divine Shield</b>",1,1,1,COMMON,true,"Original name was Tubular Protector, but this seems more bodacious.",,Unlocked with Paladin class.,Unlocked after winning 50 games as Paladin.,,,
CORE_ICC_039,PALADIN,SPELL,Dark Conviction,PLACEHOLDER_202204,Set a minion's Attack and Health to 3.,2,,,COMMON,true,"In his court, Uther is judge, jury, AND executioner…",,,,,,
CORE_ICC_041,WARLOCK,SPELL,Defile,PLACEHOLDER_202204,"Deal $1 damage to all minions. If any die, cast this again.",2,,,RARE,true,This spell was originally designed to help warlocks clean up their hard drives.,,Unlocked with Warlock class.,Unlocked after winning 100 games as Warlock.,,,
CORE_ICC_047,DRUID,MINION,Fatespinner,PLACEHOLDER_202204,<b>Choose a Deathrattle (Secretly) -</b> Deal 3 damage to all minions; or Give them +2/+2.,5,5,3,EPIC,true,"Her clothing? Pure silk, of course.",UNDEAD,,,,,
CORE_ICC_049,HUNTER,SPELL,Toxic Arrow,PLACEHOLDER_202204,"Deal $2 damage to a minion. If it survives, give it <b>Poisonous</b>.",2,,,EPIC,true,What doesn't kill you makes you toxic.,,,,,,
CORE_ICC_050,DRUID,SPELL,Webweave,PLACEHOLDER_202204,Summon two 1/2 <b>Poisonous</b> Spiders.,5,,,COMMON,true,"O, what a tangled web we weave, hoping spiders dodge the cleave.",,,,,,
CORE_ICC_051,DRUID,MINION,Druid of the Swarm,PLACEHOLDER_202204,<b>Choose One -</b> Transform into a 1/2 with <b>Poisonous</b>; or a 1/5 with <b>Taunt</b>.,2,1,2,RARE,true,The druid awoke from troubling dreams to find herself transformed into a giant spider.,,,,,,
CORE_ICC_052,HUNTER,SPELL,Play Dead,PLACEHOLDER_202204,Trigger a friendly minion's <b>Deathrattle</b>.,1,,,COMMON,true,He's a very literal dog.,,,,,,
CORE_ICC_054,DRUID,SPELL,Spreading Plague,PLACEHOLDER_202204,"Summon a 1/5 Scarab with <b>Taunt</b>. If your opponent has more minions, cast this again.",6,,,RARE,true,"In the past, plagues were spread by mice or fleas. These days they're spread by elves.",,,,,,
CORE_ICC_055,WARLOCK,SPELL,Drain Soul,CORE,"<b>Lifesteal</b>
Deal $3 damage
to a minion.",2,,,COMMON,true,Cleans even the toughest clogs with just a flick of the wrist!,,Unlocked with Warlock class.,Unlocked after winning 50 games as Warlock.,,,
CORE_ICC_056,SHAMAN,SPELL,Cryostasis,PLACEHOLDER_202204,Give a minion +3/+3 and <b>Freeze</b> it.,2,,,EPIC,true,We'll thaw you out when we find a cure!,,,,,,
CORE_ICC_058,SHAMAN,MINION,Brrrloc,PLACEHOLDER_202204,<b>Battlecry:</b> <b>Freeze</b> an enemy.,2,2,2,COMMON,true,"He may be frozen fish, but he fights fresh!",MURLOC,,,Freeze an enemy.,,
CORE_ICC_062,WARRIOR,MINION,Mountainfire Armor,PLACEHOLDER_202204,"<b>Deathrattle:</b> If it's your opponent's turn,
gain 6 Armor.",3,4,3,RARE,true,Excuse me. Your mountain is on fire.,,,,,,
CORE_ICC_064,WARRIOR,WEAPON,Blood Razor,PLACEHOLDER_202204,"<b>Battlecry and Deathrattle:</b>
Deal 1 damage to all minions.",4,2,2,COMMON,true,For the close shave that you've always wanted. Caution: Very sharp.,,,,,,0
CORE_ICC_065,ROGUE,MINION,Bone Baron,PLACEHOLDER_202204,<b>Deathrattle:</b> Add two 1/1 Skeletons to your hand.,5,5,5,COMMON,true,"""Oil,"" ""Rail,"" and ""Blubber"" were already taken.",UNDEAD,,,,,
CORE_ICC_067,NEUTRAL,MINION,Vryghoul,PLACEHOLDER_202204,"[x]<b>Deathrattle:</b> If it's your
opponent's turn,
summon a 2/2 Ghoul.",3,3,1,COMMON,true,It's pronounced VERY GHOUL. Don't let anyone tell you different.,UNDEAD,,,,,
CORE_ICC_068,MAGE,MINION,Ice Walker,PLACEHOLDER_202204,Your Hero Power also <b><b>Freeze</b>s</b> the target.,2,1,3,RARE,true,Ice <i>Walker</i> you say? He doesn't have feet!,ELEMENTAL,,,,,
CORE_ICC_069,MAGE,MINION,Ghastly Conjurer,PLACEHOLDER_202204,<b>Battlecry:</b> Add a 'Mirror Image' spell to your hand.,4,2,6,RARE,true,Wearing purple after the holidays? GHASTLY!,UNDEAD,,,,,
CORE_ICC_071,PALADIN,WEAPON,Light's Sorrow,PLACEHOLDER_202204,"After a friendly minion loses <b>Divine Shield</b>, gain +1 Attack.",4,1,4,EPIC,true,These sorrows cut deep.,,,,,,0
CORE_ICC_075,WARLOCK,MINION,Despicable Dreadlord,CORE,"At the end of your turn, deal 1 damage to all enemy minions.",5,4,6,RARE,true,He's deathspicable.,DEMON,Unlocked with Warlock class.,Unlocked after winning 100 games as Warlock.,,,
CORE_ICC_078,SHAMAN,SPELL,Avalanche,PLACEHOLDER_202204,<b>Freeze</b> a minion and deal $3 damage to adjacent ones.,4,,,RARE,true,One of our more snowbally cards.,,,,,,
CORE_ICC_079,DRUID,SPELL,Gnash,PLACEHOLDER_202204,Give your hero +3 Attack this turn. Gain 3 Armor.,3,,,COMMON,true,It's rude to gnash with your mouth open.,,,,,,
CORE_ICC_081,SHAMAN,MINION,Drakkari Defender,PLACEHOLDER_202204,"<b>Taunt</b>
<b>Overload:</b> (3)",3,2,8,COMMON,true,"Sometimes, the best defense is an offensive troll.",,,,,,
CORE_ICC_082,MAGE,SPELL,Frozen Clone,PLACEHOLDER_202204,"<b>Secret:</b> After your opponent plays a minion, add two copies of it to your hand.",3,,,COMMON,true,"It's like déjà vu, times two.",,,,,,
CORE_ICC_083,MAGE,MINION,Doomed Apprentice,PLACEHOLDER_202204,Your opponent's spells cost (1) more.,3,3,2,RARE,true,Jaina was never good at keeping up apprentices.,UNDEAD,,,,,
